name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed,X,Y
"quinn, matthew d.",,1308,N,Queens,,,0,0,LONG ISLAND CITY; academy st. near grand Avenue,Y,,,tablet,,,bronze,tiffany studios,,,,gift. $405,,,,,,,,,,,,
"Conway, Frank Tablet",,327,N,the Bronx,,,0,0,,M,,,,,,,,,,,,,,,,,,,,,,,
Cigarette,Cigarette,1937,N,Manhattan,,,5,3,"The Museum of Modern Art, 11 West 53rd Street",Y,June 1980,1971,geometric form,"h 15'1"" x w 25'6"" x d 18'7""",,steel (painted black),,"Industrial Welding, Newark, NJ",Tony Smith,,Museum of Modern Art,,,,,,,,,,,,
Philosophy,,1181,O,Manhattan,Bryant Park,M008,5,3,New York Public Library; 42nd St. and 5th Avenue,Y,1915,,statue,,,,,,Paul Wayland Bartlett,,purchase,,,,,,,,,,,,
Giuseppe Garibaldi,"Garibaldi, Giuseppe",571,Y,Manhattan,Washington Square Park,M098,2,1,,Y,"June 4, 1888",1888,Standing figure (over life-size) on integral plinth on pedestal,"H: 20'8"" W: 10' D: 10'",,Bronze and Clark's Island? or Westerly? Granite,Henry Bonnard Bronze Company,"Lazzari & Barton Woodlawn, N.Y.",Giuseppe Turini,,Italian-Americans,,,,,Y,,,,Politcal Figure,,985120.0162926316,205443.46383473277
O'Connor Park,,1125,Y,Queens,Raymond M. O'Connor Field,Q103,11,19,210TH ST.; 32nd to 33rd Avenues,M,,,flagstaff with capt. trench mortars,,,mortars probably salvaged,,,,,,,,,,,,,,"War Memorial, World War I",,,
Alexander Hamilton,,663,N,Manhattan,,,1,1,"COUNTY COURT HOUSE, ROOM 315; chambers and centre sts",Y,,,bust,,,plaster,,,,,,,,,,,,,,,,,
Commerce,Commerce,306,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Elk Street elevation, beside center window in attic",Y,1903,ca. 1903,seated female figure (heroic scale),,,Westerly granite,,,Henry Kirke Bush-Brown,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,Sculpture,,,
Rockaway Whale,,1985,N,Queens,,Q163A,,,"Shore Front Parkway and Beach 95th Street, Rockaway",N,,,Large-scale white whale with colored tile mosaics,,,,,,,,,,,,,,,,,,,,
Madonna,,963,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; 200 eastern parkway,Y,1900,,bust,,,,,,william o. partridge,,george foster peabody,,,,,,,,,,,,
roman law giver,,1368,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; eastern parkway,Y,1909,,statue,,,indiana limestone,,,john gelert,,purchase $3000.,,,,,,,,,,,,
Luminescence,,2167,Y,Q,,Q471,2,26,Center Boulevard and 54th Avenue,Y,6/27/18,,seven cast concrete domes representing the phases of the moon,"6' Diameter x 1 1/4' Tall (Each Moon), 66' Diameter Semicircle (Installation)",,"White Portland cement integrated with phosphorous particles, pigment, and reflective silicon carbide grains",,Dura Art Stone,Nobuho Nagasawa,"Thomas Balsley, Landscape Architect","Percent for Art, Economic Development Corportation",,,,,Y,11/11/2017,,,"Abstract, Other",,994911.2785342187,209212.81456372142
"Skycycles 1, 2, 3",,2164,Y,Staten Island,,R149,2,50,Field Athletic Complex; Quintard Street & Mason Avenue,Y,December 2015,,Three 'flying bicycle' scultpures,"1: W: 11' L: 8'11"" H: 5'3""; 2: W: 12' L: 6'3"" H: 3'6""; 3: W: 15' L: 8'9"" H: 4'8""",,Steel and aluminum,,Paul Villinski Studio,Paul Villinski,,DCA Percent for Art,,,,,Y,11/12/2015,,,,,963306.0182540566,151639.973016724
One Hundred Fifty Seventh St. Subway,,1139,N,Manhattan,,,9,7,157TH ST. SUBWAY; uptown side,Y,1913,,tablet,"1'h x 2'5""",,white vermont marble,,s. klaber & co.,,,"purchase, $50.",,,,,,,,,,,,
Forest Park Honor Roll,,515,Y,Queens,Forest Park,Q015,16,30,"Myrtle Avenue, Union Turnpike, Park Lane",M,1920,,,,,,John Polachek Bronze Co,,,,,,,,,,,,,"War Memorial, World War I",,,
"shepard, edward morse",,1435,N,Manhattan,,,9,7,CCNY; convent ave at 137th st,Y,1912,,tablet,,,bronze,j. & r. lamb,,,,,,,,,,,,,,,,
Guadalcanal Heroes,,647,Y,Manhattan,Riverside Park,M071,0,6,,M,apprvd art comis 9/10/47,,Plaque on plinth,,,,,,,,Marine Fathers Association,,,,,,,,,"World War II, War Memorial",,,
Jeffrey's Hook Lighthouse Plaque,,810,Y,Manhattan,Fort Washington Park,M028,12,7,Under George Washington Bridge,Y,,,granite marker identifying historic lighthouse,,,Granite,,,,,,,,,,Y,,,,Literary Character,,998923.9742489755,249046.8165884763
Hon. James A. Hatch,,685,Y,Manhattan,Washington Square Park,M098,2,1,Northeast corner,S,1949,,Tablet on base,"9"" x 12""",,"Bronze, granite plinth",,"United States Bronze Signs Co., Inc.",,,Freda B. Hatch,,,,,,,,,"Public Servant, Politcal Figure",,,
Father Studzinski Memorial,,2221,N,Brooklyn,,,1,,McGuinness Blvd and Driggs Avenue,Y,1963,1963; recast 2017,Stele with plaque,"3'6"" L x 2' W x 5' H","St. Stanislaus Memorial Post 1771, American Legion",barre granite and bronze,,Giudici Bro and Meier Johan Wengler,Pulaski Monument Co.,,,,,,,Y,,04/22/2017,,"Christian, Religious Leader, Portrait",,,
Confucius,,317,N,Manhattan,,,5,2,APPELLATE COURT; Madison Avenue and 25th Street,Y,1899,,statue,,,,,,Philip Martiny,,purchase,,,,,,,,,Sculpture,,,
Highbridge World War I Memorial,,720,Y,the Bronx,,X030,4,16,161st Street and Jerome Avenue,Y,1923,,"Statue, pedestal with dedicatory plaque","H: 15'9"" W: 8'8"" D: 8'8""",,Bronze and Maine granite,J.W. Fiske Iron Works,,,Max Hausle,Highbridge Regular Democratic Club,,,Highbridge Doughboy,,Y,,09/28/2018,6000.00,"War Memorial, World War I, Soldier",,1003806.9070683867,241587.92271363735
Marine Park Plaque,,977,Y,Queens,Marine Park,Q028,14,32,MARINE PARK,M,,,,,,bronze,,,,,approved by art comm. 5/71,,,,,,,,,,,,
