MeterType,the_geom,MeterNo,LONG,LAT,Status,Borough
Strada,POINT (-73.84754478941632 40.709875987979544),4522508,-73.8475447894,40.709875988,Active,Queens
Strada,POINT (-73.84880089683506 40.71007062987071),4522507,-73.8488008968,40.7100706299,Active,Queens
Strada,POINT (-73.84904582319449 40.710001740642234),4522506,-73.8490458232,40.7100017406,Active,Queens
Strada,POINT (-73.849163601086 40.70998012424439),4522505,-73.8491636011,40.7099801242,Active,Queens
Strada,POINT (-73.84945799115022 40.71018488626701),4522504,-73.8494579912,40.7101848863,Active,Queens
Strada,POINT (-73.85025951820307 40.7103112991846),4522503,-73.8502595182,40.7103112992,Retired,Queens
Strada,POINT (-73.85150628802356 40.71050914122013),4522502,-73.851506288,40.7105091412,Retired,Queens
Strada,POINT (-73.88463841540559 40.70157924292695),4361748,-73.8846384154,40.7015792429,Active,Queens
Strada,POINT (-73.88572633199644 40.70148804723784),4361747,-73.885726332,40.7014880472,Active,Queens
Strada,POINT (-73.88638517682388 40.70143027240465),4361746,-73.8863851768,40.7014302724,Active,Queens
Strada,POINT (-73.88763774848954 40.70132571967875),4361745,-73.8876377485,40.7013257197,Active,Queens
Strada,POINT (-73.8888595561806 40.70132085089739),4361763,-73.8888595562,40.7013208509,Active,Queens
Strada,POINT (-73.88814754004677 40.70128321043396),4361744,-73.88814754,40.7012832104,Active,Queens
Strada,POINT (-73.88927889900916 40.701187754050274),4361743,-73.889278899,40.7011877541,Active,Queens
Strada,POINT (-73.88985903249859 40.701137754072384),4361742,-73.8898590325,40.7011377541,Active,Queens
Strada,POINT (-73.95421333517683 40.743441466483404),4152137,-73.9542133352,40.7434414665,Active,Queens
Strada,POINT (-73.95408227518517 40.74350097293414),4152138,-73.9540822752,40.7435009729,Active,Queens
Strada,POINT (-73.95370934415938 40.74481874693108),4152145,-73.9537093442,40.7448187469,Active,Queens
Strada,POINT (-73.95410766890679 40.74295164679465),4152136,-73.9541076689,40.7429516468,Active,Queens
Strada,POINT (-73.95359876008831 40.74447481690295),4152134,-73.9535987601,40.7444748169,Active,Queens
Strada,POINT (-73.93262293871543 40.74278172095466),4151985,-73.9326229387,40.742781721,Active,Queens
Strada,POINT (-73.93250691167324 40.74264816003513),4151981,-73.9325069117,40.74264816,Active,Queens
Strada,POINT (-73.88153228617274 40.74983426153806),4122378,-73.8815322862,40.7498342615,Active,Queens
Strada,POINT (-73.88143157462983 40.749840266049205),4122380,-73.8814315746,40.749840266,Active,Queens
Strada,POINT (-73.88123461242635 40.74817232250861),4122377,-73.8812346124,40.7481723225,Active,Queens
