Complex ID,Complex Name
601,14 St / 6 Av
602,14 St - Union Sq
603,149 St - Grand Concourse
604,161 St - Yankee Stadium
605,168 St - Washington Hts
606,Court Sq - 23 St
607,34 St - Herald Sq
608,4 Av - 9 St
609,42 St - Bryant Pk / 5 Av
610,Grand Central - 42 St
611,Times Sq - 42 St / Port Authority Bus Terminal
612,Lexington Av / 51 St
613,Lexington Av / 59 St
614,59 St - Columbus Circle
615,62 St / New Utrecht Av
616,Jackson Hts-Roosevelt Av / 74 St
617,Atlantic Av-Barclays Ctr
618,14 St / 8 Av
619,Broadway-Lafayette St / Bleecker St
620,Borough Hall / Court St
621,Broadway Junction
622,Brooklyn Bridge-City Hall / Chambers St
623,Canal St
624,Chambers St / WTC / Park Place / Cortlandt St
625,Delancey St / Essex St
626,Franklin Av / Botanic Garden
627,Franklin Av
628,Fulton St
629,Metropolitan Av / Lorimer St
630,Myrtle - Wyckoff Avs
635,South Ferry / Whitehall
636,Jay St - MetroTech
